#: table_doi: 10.17182/hepdata.153301.v1/t2
#: name: Covariance for full matrix inclusive from m(tt)
#: description: Covariance for full matrix measurement inclusive from $m(t\bar{t})$
#: data_file: covariance_for_full_matrix_inclusive_from_m(tt).yaml
#: keyword reactions: P P --> TOP TOPBAR
#: keyword cmenergies: 13000
#: RE,P P --> TOP TOPBAR
#: SQRT(S) [TeV],13
#: LUMI [fb$^{-1}$],138
x-axis,y-axis,Covariance
$c$ for inclusive measurement,$c$ for inclusive measurement,0.0028245
$c$ for inclusive measurement,$P_{r}$ for inclusive measurement,1.4623e-05
$c$ for inclusive measurement,$P_{n}$ for inclusive measurement,-3.3605e-06
$c$ for inclusive measurement,$P_{k}$ for inclusive measurement,-8.3102e-05
$c$ for inclusive measurement,$\bar{P}_{r}$ for inclusive measurement,2.4682e-05
$c$ for inclusive measurement,$\bar{P}_{n}$ for inclusive measurement,-6.3833e-07
$c$ for inclusive measurement,$\bar{P}_{k}$ for inclusive measurement,-7.941e-05
$c$ for inclusive measurement,$C_{rr}$ for inclusive measurement,9.4939e-05
$c$ for inclusive measurement,$C_{nn}$ for inclusive measurement,4.0544e-06
$c$ for inclusive measurement,$C_{kk}$ for inclusive measurement,-1.4231e-05
$c$ for inclusive measurement,$C_{nr}^{+}$ for inclusive measurement,-6.6964e-06
$c$ for inclusive measurement,$C_{rk}^{+}$ for inclusive measurement,7.4429e-05
$c$ for inclusive measurement,$C_{nk}^{+}$ for inclusive measurement,-3.3914e-06
$c$ for inclusive measurement,$C_{nr}^{-}$ for inclusive measurement,-3.7345e-07
$c$ for inclusive measurement,$C_{rk}^{-}$ for inclusive measurement,-2.0292e-06
$c$ for inclusive measurement,$C_{nk}^{-}$ for inclusive measurement,-1.4096e-08
$P_{r}$ for inclusive measurement,$c$ for inclusive measurement,1.4623e-05
$P_{r}$ for inclusive measurement,$P_{r}$ for inclusive measurement,5.9952e-05
$P_{r}$ for inclusive measurement,$P_{n}$ for inclusive measurement,-1.478e-06
$P_{r}$ for inclusive measurement,$P_{k}$ for inclusive measurement,-3.9158e-07
$P_{r}$ for inclusive measurement,$\bar{P}_{r}$ for inclusive measurement,8.9452e-06
$P_{r}$ for inclusive measurement,$\bar{P}_{n}$ for inclusive measurement,-1.5997e-07
$P_{r}$ for inclusive measurement,$\bar{P}_{k}$ for inclusive measurement,-6.4684e-06
$P_{r}$ for inclusive measurement,$C_{rr}$ for inclusive measurement,-2.2478e-06
$P_{r}$ for inclusive measurement,$C_{nn}$ for inclusive measurement,-2.0568e-06
$P_{r}$ for inclusive measurement,$C_{kk}$ for inclusive measurement,3.8674e-06
$P_{r}$ for inclusive measurement,$C_{nr}^{+}$ for inclusive measurement,1.7206e-07
$P_{r}$ for inclusive measurement,$C_{rk}^{+}$ for inclusive measurement,6.696e-05
$P_{r}$ for inclusive measurement,$C_{nk}^{+}$ for inclusive measurement,-4.6998e-06
$P_{r}$ for inclusive measurement,$C_{nr}^{-}$ for inclusive measurement,-6.7243e-07
$P_{r}$ for inclusive measurement,$C_{rk}^{-}$ for inclusive measurement,6.4112e-05
$P_{r}$ for inclusive measurement,$C_{nk}^{-}$ for inclusive measurement,-1.0481e-06
$P_{n}$ for inclusive measurement,$c$ for inclusive measurement,-3.3605e-06
$P_{n}$ for inclusive measurement,$P_{r}$ for inclusive measurement,-1.478e-06
$P_{n}$ for inclusive measurement,$P_{n}$ for inclusive measurement,3.9198e-05
$P_{n}$ for inclusive measurement,$P_{k}$ for inclusive measurement,6.6981e-07
$P_{n}$ for inclusive measurement,$\bar{P}_{r}$ for inclusive measurement,-5.5472e-08
$P_{n}$ for inclusive measurement,$\bar{P}_{n}$ for inclusive measurement,2.1134e-06
$P_{n}$ for inclusive measurement,$\bar{P}_{k}$ for inclusive measurement,4.5428e-07
$P_{n}$ for inclusive measurement,$C_{rr}$ for inclusive measurement,1.6402e-07
$P_{n}$ for inclusive measurement,$C_{nn}$ for inclusive measurement,1.2283e-06
$P_{n}$ for inclusive measurement,$C_{kk}$ for inclusive measurement,3.9282e-07
$P_{n}$ for inclusive measurement,$C_{nr}^{+}$ for inclusive measurement,-1.1163e-05
$P_{n}$ for inclusive measurement,$C_{rk}^{+}$ for inclusive measurement,-2.0688e-06
$P_{n}$ for inclusive measurement,$C_{nk}^{+}$ for inclusive measurement,4.6511e-05
$P_{n}$ for inclusive measurement,$C_{nr}^{-}$ for inclusive measurement,-2.4521e-06
$P_{n}$ for inclusive measurement,$C_{rk}^{-}$ for inclusive measurement,-2.1374e-06
$P_{n}$ for inclusive measurement,$C_{nk}^{-}$ for inclusive measurement,4.9451e-05
$P_{k}$ for inclusive measurement,$c$ for inclusive measurement,-8.3102e-05
$P_{k}$ for inclusive measurement,$P_{r}$ for inclusive measurement,-3.9158e-07
$P_{k}$ for inclusive measurement,$P_{n}$ for inclusive measurement,6.6981e-07
$P_{k}$ for inclusive measurement,$P_{k}$ for inclusive measurement,4.6237e-05
$P_{k}$ for inclusive measurement,$\bar{P}_{r}$ for inclusive measurement,-7.5552e-06
$P_{k}$ for inclusive measurement,$\bar{P}_{n}$ for inclusive measurement,3.0669e-07
$P_{k}$ for inclusive measurement,$\bar{P}_{k}$ for inclusive measurement,3.0441e-05
$P_{k}$ for inclusive measurement,$C_{rr}$ for inclusive measurement,-6.0464e-06
$P_{k}$ for inclusive measurement,$C_{nn}$ for inclusive measurement,3.2106e-06
$P_{k}$ for inclusive measurement,$C_{kk}$ for inclusive measurement,3.2039e-05
$P_{k}$ for inclusive measurement,$C_{nr}^{+}$ for inclusive measurement,-1.6598e-07
$P_{k}$ for inclusive measurement,$C_{rk}^{+}$ for inclusive measurement,-1.001e-05
$P_{k}$ for inclusive measurement,$C_{nk}^{+}$ for inclusive measurement,9.2828e-07
$P_{k}$ for inclusive measurement,$C_{nr}^{-}$ for inclusive measurement,2.4292e-07
$P_{k}$ for inclusive measurement,$C_{rk}^{-}$ for inclusive measurement,1.4347e-05
$P_{k}$ for inclusive measurement,$C_{nk}^{-}$ for inclusive measurement,1.8455e-06
$\bar{P}_{r}$ for inclusive measurement,$c$ for inclusive measurement,2.4682e-05
$\bar{P}_{r}$ for inclusive measurement,$P_{r}$ for inclusive measurement,8.9452e-06
$\bar{P}_{r}$ for inclusive measurement,$P_{n}$ for inclusive measurement,-5.5472e-08
$\bar{P}_{r}$ for inclusive measurement,$P_{k}$ for inclusive measurement,-7.5552e-06
$\bar{P}_{r}$ for inclusive measurement,$\bar{P}_{r}$ for inclusive measurement,6.0808e-05
$\bar{P}_{r}$ for inclusive measurement,$\bar{P}_{n}$ for inclusive measurement,-2.3244e-07
$\bar{P}_{r}$ for inclusive measurement,$\bar{P}_{k}$ for inclusive measurement,-1.5924e-06
$\bar{P}_{r}$ for inclusive measurement,$C_{rr}$ for inclusive measurement,-2.2101e-06
$\bar{P}_{r}$ for inclusive measurement,$C_{nn}$ for inclusive measurement,-3.5831e-06
$\bar{P}_{r}$ for inclusive measurement,$C_{kk}$ for inclusive measurement,2.9033e-06
$\bar{P}_{r}$ for inclusive measurement,$C_{nr}^{+}$ for inclusive measurement,-8.6705e-07
$\bar{P}_{r}$ for inclusive measurement,$C_{rk}^{+}$ for inclusive measurement,6.7051e-05
$\bar{P}_{r}$ for inclusive measurement,$C_{nk}^{+}$ for inclusive measurement,5.2614e-07
$\bar{P}_{r}$ for inclusive measurement,$C_{nr}^{-}$ for inclusive measurement,-2.3266e-07
$\bar{P}_{r}$ for inclusive measurement,$C_{rk}^{-}$ for inclusive measurement,-6.8574e-05
$\bar{P}_{r}$ for inclusive measurement,$C_{nk}^{-}$ for inclusive measurement,3.5697e-06
$\bar{P}_{n}$ for inclusive measurement,$c$ for inclusive measurement,-6.3833e-07
$\bar{P}_{n}$ for inclusive measurement,$P_{r}$ for inclusive measurement,-1.5997e-07
$\bar{P}_{n}$ for inclusive measurement,$P_{n}$ for inclusive measurement,2.1134e-06
$\bar{P}_{n}$ for inclusive measurement,$P_{k}$ for inclusive measurement,3.0669e-07
$\bar{P}_{n}$ for inclusive measurement,$\bar{P}_{r}$ for inclusive measurement,-2.3244e-07
$\bar{P}_{n}$ for inclusive measurement,$\bar{P}_{n}$ for inclusive measurement,3.8468e-05
$\bar{P}_{n}$ for inclusive measurement,$\bar{P}_{k}$ for inclusive measurement,2.5986e-07
$\bar{P}_{n}$ for inclusive measurement,$C_{rr}$ for inclusive measurement,-7.4586e-07
$\bar{P}_{n}$ for inclusive measurement,$C_{nn}$ for inclusive measurement,5.1066e-07
$\bar{P}_{n}$ for inclusive measurement,$C_{kk}$ for inclusive measurement,-2.3526e-07
$\bar{P}_{n}$ for inclusive measurement,$C_{nr}^{+}$ for inclusive measurement,-1.2083e-05
$\bar{P}_{n}$ for inclusive measurement,$C_{rk}^{+}$ for inclusive measurement,-1.3887e-06
$\bar{P}_{n}$ for inclusive measurement,$C_{nk}^{+}$ for inclusive measurement,4.6446e-05
$\bar{P}_{n}$ for inclusive measurement,$C_{nr}^{-}$ for inclusive measurement,4.6244e-06
$\bar{P}_{n}$ for inclusive measurement,$C_{rk}^{-}$ for inclusive measurement,-6.4476e-07
$\bar{P}_{n}$ for inclusive measurement,$C_{nk}^{-}$ for inclusive measurement,-4.8057e-05
$\bar{P}_{k}$ for inclusive measurement,$c$ for inclusive measurement,-7.941e-05
$\bar{P}_{k}$ for inclusive measurement,$P_{r}$ for inclusive measurement,-6.4684e-06
$\bar{P}_{k}$ for inclusive measurement,$P_{n}$ for inclusive measurement,4.5428e-07
$\bar{P}_{k}$ for inclusive measurement,$P_{k}$ for inclusive measurement,3.0441e-05
$\bar{P}_{k}$ for inclusive measurement,$\bar{P}_{r}$ for inclusive measurement,-1.5924e-06
$\bar{P}_{k}$ for inclusive measurement,$\bar{P}_{n}$ for inclusive measurement,2.5986e-07
$\bar{P}_{k}$ for inclusive measurement,$\bar{P}_{k}$ for inclusive measurement,4.4471e-05
$\bar{P}_{k}$ for inclusive measurement,$C_{rr}$ for inclusive measurement,-6.35e-06
$\bar{P}_{k}$ for inclusive measurement,$C_{nn}$ for inclusive measurement,-2.2681e-07
$\bar{P}_{k}$ for inclusive measurement,$C_{kk}$ for inclusive measurement,2.7225e-05
$\bar{P}_{k}$ for inclusive measurement,$C_{nr}^{+}$ for inclusive measurement,-3.1517e-07
$\bar{P}_{k}$ for inclusive measurement,$C_{rk}^{+}$ for inclusive measurement,-6.247e-06
$\bar{P}_{k}$ for inclusive measurement,$C_{nk}^{+}$ for inclusive measurement,1.0411e-06
$\bar{P}_{k}$ for inclusive measurement,$C_{nr}^{-}$ for inclusive measurement,-2.7423e-08
$\bar{P}_{k}$ for inclusive measurement,$C_{rk}^{-}$ for inclusive measurement,-1.0228e-05
$\bar{P}_{k}$ for inclusive measurement,$C_{nk}^{-}$ for inclusive measurement,1.4871e-06
$C_{rr}$ for inclusive measurement,$c$ for inclusive measurement,9.4939e-05
$C_{rr}$ for inclusive measurement,$P_{r}$ for inclusive measurement,-2.2478e-06
$C_{rr}$ for inclusive measurement,$P_{n}$ for inclusive measurement,1.6402e-07
$C_{rr}$ for inclusive measurement,$P_{k}$ for inclusive measurement,-6.0464e-06
$C_{rr}$ for inclusive measurement,$\bar{P}_{r}$ for inclusive measurement,-2.2101e-06
$C_{rr}$ for inclusive measurement,$\bar{P}_{n}$ for inclusive measurement,-7.4586e-07
$C_{rr}$ for inclusive measurement,$\bar{P}_{k}$ for inclusive measurement,-6.35e-06
$C_{rr}$ for inclusive measurement,$C_{rr}$ for inclusive measurement,0.00027916
$C_{rr}$ for inclusive measurement,$C_{nn}$ for inclusive measurement,-1.0287e-05
$C_{rr}$ for inclusive measurement,$C_{kk}$ for inclusive measurement,2.6777e-06
$C_{rr}$ for inclusive measurement,$C_{nr}^{+}$ for inclusive measurement,6.0472e-07
$C_{rr}$ for inclusive measurement,$C_{rk}^{+}$ for inclusive measurement,8.4755e-05
$C_{rr}$ for inclusive measurement,$C_{nk}^{+}$ for inclusive measurement,2.8443e-06
$C_{rr}$ for inclusive measurement,$C_{nr}^{-}$ for inclusive measurement,-9.5145e-07
$C_{rr}$ for inclusive measurement,$C_{rk}^{-}$ for inclusive measurement,-5.159e-06
$C_{rr}$ for inclusive measurement,$C_{nk}^{-}$ for inclusive measurement,6.8636e-07
$C_{nn}$ for inclusive measurement,$c$ for inclusive measurement,4.0544e-06
$C_{nn}$ for inclusive measurement,$P_{r}$ for inclusive measurement,-2.0568e-06
$C_{nn}$ for inclusive measurement,$P_{n}$ for inclusive measurement,1.2283e-06
$C_{nn}$ for inclusive measurement,$P_{k}$ for inclusive measurement,3.2106e-06
$C_{nn}$ for inclusive measurement,$\bar{P}_{r}$ for inclusive measurement,-3.5831e-06
$C_{nn}$ for inclusive measurement,$\bar{P}_{n}$ for inclusive measurement,5.1066e-07
$C_{nn}$ for inclusive measurement,$\bar{P}_{k}$ for inclusive measurement,-2.2681e-07
$C_{nn}$ for inclusive measurement,$C_{rr}$ for inclusive measurement,-1.0287e-05
$C_{nn}$ for inclusive measurement,$C_{nn}$ for inclusive measurement,0.00010668
$C_{nn}$ for inclusive measurement,$C_{kk}$ for inclusive measurement,3.9766e-05
$C_{nn}$ for inclusive measurement,$C_{nr}^{+}$ for inclusive measurement,1.2791e-06
$C_{nn}$ for inclusive measurement,$C_{rk}^{+}$ for inclusive measurement,-1.1389e-05
$C_{nn}$ for inclusive measurement,$C_{nk}^{+}$ for inclusive measurement,4.1778e-06
$C_{nn}$ for inclusive measurement,$C_{nr}^{-}$ for inclusive measurement,-9.0565e-07
$C_{nn}$ for inclusive measurement,$C_{rk}^{-}$ for inclusive measurement,-4.6141e-06
$C_{nn}$ for inclusive measurement,$C_{nk}^{-}$ for inclusive measurement,-2.2484e-07
$C_{kk}$ for inclusive measurement,$c$ for inclusive measurement,-1.4231e-05
$C_{kk}$ for inclusive measurement,$P_{r}$ for inclusive measurement,3.8674e-06
$C_{kk}$ for inclusive measurement,$P_{n}$ for inclusive measurement,3.9282e-07
$C_{kk}$ for inclusive measurement,$P_{k}$ for inclusive measurement,3.2039e-05
$C_{kk}$ for inclusive measurement,$\bar{P}_{r}$ for inclusive measurement,2.9033e-06
$C_{kk}$ for inclusive measurement,$\bar{P}_{n}$ for inclusive measurement,-2.3526e-07
$C_{kk}$ for inclusive measurement,$\bar{P}_{k}$ for inclusive measurement,2.7225e-05
$C_{kk}$ for inclusive measurement,$C_{rr}$ for inclusive measurement,2.6777e-06
$C_{kk}$ for inclusive measurement,$C_{nn}$ for inclusive measurement,3.9766e-05
$C_{kk}$ for inclusive measurement,$C_{kk}$ for inclusive measurement,0.00040078
$C_{kk}$ for inclusive measurement,$C_{nr}^{+}$ for inclusive measurement,-6.6984e-07
$C_{kk}$ for inclusive measurement,$C_{rk}^{+}$ for inclusive measurement,0.00010825
$C_{kk}$ for inclusive measurement,$C_{nk}^{+}$ for inclusive measurement,-7.7677e-07
$C_{kk}$ for inclusive measurement,$C_{nr}^{-}$ for inclusive measurement,-6.5213e-07
$C_{kk}$ for inclusive measurement,$C_{rk}^{-}$ for inclusive measurement,-3.4853e-06
$C_{kk}$ for inclusive measurement,$C_{nk}^{-}$ for inclusive measurement,1.3157e-07
$C_{nr}^{+}$ for inclusive measurement,$c$ for inclusive measurement,-6.6964e-06
$C_{nr}^{+}$ for inclusive measurement,$P_{r}$ for inclusive measurement,1.7206e-07
$C_{nr}^{+}$ for inclusive measurement,$P_{n}$ for inclusive measurement,-1.1163e-05
$C_{nr}^{+}$ for inclusive measurement,$P_{k}$ for inclusive measurement,-1.6598e-07
$C_{nr}^{+}$ for inclusive measurement,$\bar{P}_{r}$ for inclusive measurement,-8.6705e-07
$C_{nr}^{+}$ for inclusive measurement,$\bar{P}_{n}$ for inclusive measurement,-1.2083e-05
$C_{nr}^{+}$ for inclusive measurement,$\bar{P}_{k}$ for inclusive measurement,-3.1517e-07
$C_{nr}^{+}$ for inclusive measurement,$C_{rr}$ for inclusive measurement,6.0472e-07
$C_{nr}^{+}$ for inclusive measurement,$C_{nn}$ for inclusive measurement,1.2791e-06
$C_{nr}^{+}$ for inclusive measurement,$C_{kk}$ for inclusive measurement,-6.6984e-07
$C_{nr}^{+}$ for inclusive measurement,$C_{nr}^{+}$ for inclusive measurement,0.00035034
$C_{nr}^{+}$ for inclusive measurement,$C_{rk}^{+}$ for inclusive measurement,-1.0498e-06
$C_{nr}^{+}$ for inclusive measurement,$C_{nk}^{+}$ for inclusive measurement,1.1251e-05
$C_{nr}^{+}$ for inclusive measurement,$C_{nr}^{-}$ for inclusive measurement,8.2593e-07
$C_{nr}^{+}$ for inclusive measurement,$C_{rk}^{-}$ for inclusive measurement,-3.6214e-06
$C_{nr}^{+}$ for inclusive measurement,$C_{nk}^{-}$ for inclusive measurement,4.5184e-06
$C_{rk}^{+}$ for inclusive measurement,$c$ for inclusive measurement,7.4429e-05
$C_{rk}^{+}$ for inclusive measurement,$P_{r}$ for inclusive measurement,6.696e-05
$C_{rk}^{+}$ for inclusive measurement,$P_{n}$ for inclusive measurement,-2.0688e-06
$C_{rk}^{+}$ for inclusive measurement,$P_{k}$ for inclusive measurement,-1.001e-05
$C_{rk}^{+}$ for inclusive measurement,$\bar{P}_{r}$ for inclusive measurement,6.7051e-05
$C_{rk}^{+}$ for inclusive measurement,$\bar{P}_{n}$ for inclusive measurement,-1.3887e-06
$C_{rk}^{+}$ for inclusive measurement,$\bar{P}_{k}$ for inclusive measurement,-6.247e-06
$C_{rk}^{+}$ for inclusive measurement,$C_{rr}$ for inclusive measurement,8.4755e-05
$C_{rk}^{+}$ for inclusive measurement,$C_{nn}$ for inclusive measurement,-1.1389e-05
$C_{rk}^{+}$ for inclusive measurement,$C_{kk}$ for inclusive measurement,0.00010825
$C_{rk}^{+}$ for inclusive measurement,$C_{nr}^{+}$ for inclusive measurement,-1.0498e-06
$C_{rk}^{+}$ for inclusive measurement,$C_{rk}^{+}$ for inclusive measurement,0.0012207
$C_{rk}^{+}$ for inclusive measurement,$C_{nk}^{+}$ for inclusive measurement,-1.107e-05
$C_{rk}^{+}$ for inclusive measurement,$C_{nr}^{-}$ for inclusive measurement,-4.6979e-06
$C_{rk}^{+}$ for inclusive measurement,$C_{rk}^{-}$ for inclusive measurement,3.0832e-06
$C_{rk}^{+}$ for inclusive measurement,$C_{nk}^{-}$ for inclusive measurement,-7.5485e-06
$C_{nk}^{+}$ for inclusive measurement,$c$ for inclusive measurement,-3.3914e-06
$C_{nk}^{+}$ for inclusive measurement,$P_{r}$ for inclusive measurement,-4.6998e-06
$C_{nk}^{+}$ for inclusive measurement,$P_{n}$ for inclusive measurement,4.6511e-05
$C_{nk}^{+}$ for inclusive measurement,$P_{k}$ for inclusive measurement,9.2828e-07
$C_{nk}^{+}$ for inclusive measurement,$\bar{P}_{r}$ for inclusive measurement,5.2614e-07
