#: table_doi: 10.17182/hepdata.153301.v1/t10
#: name: Covariance for full matrix m(tt) differential
#: description: Covariance for full matrix measurement differential in $m(t\bar{t})$
#: data_file: covariance_for_full_matrix_m(tt)_differential.yaml
#: keyword reactions: P P --> TOP TOPBAR
#: keyword cmenergies: 13000
#: RE,P P --> TOP TOPBAR
#: SQRT(S) [TeV],13
#: LUMI [fb$^{-1}$],138
x-axis,y-axis,Covariance
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$c$ for $300 < m(t\bar{t}) < 400 $ GeV,0.0036076
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,4.7432e-06
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,-4.1987e-05
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$P_{k}$ for $300 < m(t\bar{t}) < 400 $ GeV,-0.00033022
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$\bar{P}_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,1.7556e-05
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$\bar{P}_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,1.0291e-05
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$\bar{P}_{k}$ for $300 < m(t\bar{t}) < 400 $ GeV,-0.00029275
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{rr}$ for $300 < m(t\bar{t}) < 400 $ GeV,1.3797e-05
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nn}$ for $300 < m(t\bar{t}) < 400 $ GeV,-8.6779e-05
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{kk}$ for $300 < m(t\bar{t}) < 400 $ GeV,-0.0007367
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nr}^{+}$ for $300 < m(t\bar{t}) < 400 $ GeV,-1.9198e-05
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{rk}^{+}$ for $300 < m(t\bar{t}) < 400 $ GeV,0.00017843
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nk}^{+}$ for $300 < m(t\bar{t}) < 400 $ GeV,-1.2931e-05
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nr}^{-}$ for $300 < m(t\bar{t}) < 400 $ GeV,6.3952e-05
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{rk}^{-}$ for $300 < m(t\bar{t}) < 400 $ GeV,3.4035e-05
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nk}^{-}$ for $300 < m(t\bar{t}) < 400 $ GeV,1.6109e-05
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$c$ for $400 < m(t\bar{t}) < 600 $ GeV,0.0025634
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$P_{r}$ for $400 < m(t\bar{t}) < 600 $ GeV,-1.857e-06
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$P_{n}$ for $400 < m(t\bar{t}) < 600 $ GeV,6.7878e-06
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$P_{k}$ for $400 < m(t\bar{t}) < 600 $ GeV,-6.2042e-06
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$\bar{P}_{r}$ for $400 < m(t\bar{t}) < 600 $ GeV,1.9276e-05
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$\bar{P}_{n}$ for $400 < m(t\bar{t}) < 600 $ GeV,7.5041e-08
$c$ for $300 < m(t\bar{t}) < 400 $ GeV,$\bar{P}_{k}$ for $400 < m(t\bar{t}) < 600 $ GeV,-1.4626e-05
